"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
326,69.7702,60.0357,69.7702,-60.0357,0.95538,0.0972341,1,0
327,69.8147,60.1327,69.8147,-60.1327,0.955602,0.0967503,1,0
328,69.859,60.2292,69.859,-60.2292,0.955823,0.096269,1,0
329,69.9031,60.3253,69.9031,-60.3253,0.956043,0.0957901,1,0
330,69.9469,60.4208,69.9469,-60.4208,0.956261,0.0953135,1,0
331,69.9905,60.5159,69.9905,-60.5159,0.956479,0.0948393,1,0
332,70.034,60.6105,70.034,-60.6105,0.956696,0.0943675,1,0
333,70.0772,60.7046,70.0772,-60.7046,0.956911,0.093898,1,0
334,70.1201,60.7983,70.1201,-60.7983,0.957126,0.0934308,1,0
335,70.1629,60.8915,70.1629,-60.8915,0.957339,0.092966,1,0
336,70.2055,60.9842,70.2055,-60.9842,0.957551,0.0925035,1,0
337,70.2478,61.0765,70.2478,-61.0765,0.957763,0.0920432,1,0
338,70.2899,61.1683,70.2899,-61.1683,0.957973,0.0915853,1,0
339,70.3319,61.2597,70.3319,-61.2597,0.958182,0.0911296,1,0
340,70.3736,61.3506,70.3736,-61.3506,0.95839,0.0906763,1,0
341,70.4151,61.441,70.4151,-61.441,0.958597,0.0902251,1,0
342,70.4564,61.531,70.4564,-61.531,0.958803,0.0897762,1,0
343,70.4975,61.6206,70.4975,-61.6206,0.959008,0.0893296,1,0
344,70.5384,61.7097,70.5384,-61.7097,0.959212,0.0888851,1,0
345,70.579,61.7983,70.579,-61.7983,0.959415,0.0884429,1,0
346,70.6195,61.8866,70.6195,-61.8866,0.959617,0.0880029,1,0
347,70.6598,61.9744,70.6598,-61.9744,0.959818,0.0875651,1,0
348,70.6999,62.0617,70.6999,-62.0617,0.960018,0.0871294,1,0
349,70.7398,62.1486,70.7398,-62.1486,0.960217,0.0866959,1,0
350,70.7795,62.2351,70.7795,-62.2351,0.960415,0.0862646,1,0
351,70.8189,62.3211,70.8189,-62.3211,0.960612,0.0858354,1,0
352,70.8582,62.4068,70.8582,-62.4068,0.960808,0.0854083,1,0
353,70.8973,62.492,70.8973,-62.492,0.961003,0.0849834,1,0
354,70.9362,62.5767,70.9362,-62.5767,0.961197,0.0845606,1,0
355,70.9749,62.6611,70.9749,-62.6611,0.96139,0.0841399,1,0
356,71.0135,62.745,71.0135,-62.745,0.961582,0.0837212,1,0
357,71.0518,62.8285,71.0518,-62.8285,0.961774,0.0833047,1,0
358,71.0899,62.9116,71.0899,-62.9116,0.961964,0.0828902,1,0
359,71.1278,62.9943,71.1278,-62.9943,0.962153,0.0824778,1,0
360,71.1656,63.0766,71.1656,-63.0766,0.962341,0.0820675,1,0
361,71.2032,63.1584,71.2032,-63.1584,0.962529,0.0816592,1,0
362,71.2405,63.2399,71.2405,-63.2399,0.962715,0.0812529,1,0
363,71.2777,63.3209,71.2777,-63.3209,0.962901,0.0808486,1,0
364,71.3147,63.4016,71.3147,-63.4016,0.963085,0.0804464,1,0
365,71.3516,63.4818,71.3516,-63.4818,0.963269,0.0800461,1,0
366,71.3882,63.5617,71.3882,-63.5617,0.963452,0.0796479,1,0
367,71.4247,63.6411,71.4247,-63.6411,0.963634,0.0792516,1,0
368,71.4609,63.7202,71.4609,-63.7202,0.963815,0.0788573,1,0
369,71.497,63.7989,71.497,-63.7989,0.963995,0.078465,1,0
